,회사명,업종
354,한창,기계장비 및 관련 물품 도매업
355,한화생명,보험업
356,한화손해보험,보험업
357,한화투자증권,금융 지원 서비스업
358,헬릭스미스,자연과학 및 공학 연구개발업
359,현대건설,토목 건설업
360,현대그린푸드,종합 소매업
361,현대글로비스,기타 운송관련 서비스업
362,현대미포조선,선박 및 보트 건조업
363,현대백화점,종합 소매업
364,현대오토에버,소프트웨어 개발 및 공급업
365,현대차증권,금융 지원 서비스업
366,현대코퍼레이션,상품 종합 도매업
367,현대코퍼레이션홀딩스,음·식료품 및 담배 도매업
368,현대해상,보험업
369,현대홈쇼핑,무점포 소매업
370,혜인,기계장비 및 관련 물품 도매업
371,호텔신라,기타 상품 전문 소매업
372,화성산업,건물 건설업
373,효성,기타 금융업
374,효성ITX,기타 사업지원 서비스업
375,휠라홀딩스,생활용품 도매업
376,흥국화재,보험업
377,흥아해운,해상 운송업
