,회사명,업종
447,알엔투테크놀로지,전자부품 제조업
448,알톤스포츠,그외 기타 운송장비 제조업
449,알파홀딩스,반도체 제조업
450,애니젠,기초 의약물질 및 생물학적 제제 제조업
451,애드바이오텍,의약품 제조업
452,액트로,전자부품 제조업
453,앤디포스,플라스틱제품 제조업
454,앤씨앤,반도체 제조업
455,앱코,컴퓨터 및 주변장치 제조업
456,앱클론,의료용품 및 기타 의약 관련제품 제조업
457,야스,특수 목적용 기계 제조업
458,어보브반도체,반도체 제조업
459,어스앤에어로스페이스,"항공기,우주선 및 부품 제조업"
460,얼라인드,사진장비 및 광학기기 제조업
461,에너토크,일반 목적용 기계 제조업
462,에브리봇,가정용 기기 제조업
463,에스디생명공학,기타 화학제품 제조업
464,에스디시스템,전자부품 제조업
465,에스맥,자동차 신품 부품 제조업
466,에스씨디,가정용 기기 제조업
467,에스씨엠생명과학,의약품 제조업
468,에스앤더블류,일반 목적용 기계 제조업
469,에스앤디,기타 식품 제조업
470,에스에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
471,에스에이티,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
472,에스에이티이엔지,특수 목적용 기계 제조업
473,에스엔유,특수 목적용 기계 제조업
474,에스엘바이오닉스,반도체 제조업
475,에스와이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
476,에스제이그룹,"가죽, 가방 및 유사제품 제조업"
477,에스코넥,통신 및 방송 장비 제조업
478,에스텍,영상 및 음향기기 제조업
479,에스텍파마,의약품 제조업
480,에스티아이,특수 목적용 기계 제조업
481,에스티오,봉제의복 제조업
482,에스폴리텍,플라스틱제품 제조업
483,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
484,에스피시스템스,특수 목적용 기계 제조업
485,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
486,에쎈테크,일반 목적용 기계 제조업
487,에이디칩스,그외 기타 제품 제조업
488,에이디테크놀로지,반도체 제조업
489,에이루트,컴퓨터 및 주변장치 제조업
490,에이비프로바이오,특수 목적용 기계 제조업
491,에이스침대,가구 제조업
492,에이에프더블류,일차전지 및 축전지 제조업
493,에이치앤비디자인,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
494,에이치와이티씨,기타 금속 가공제품 제조업
495,에이치케이,특수 목적용 기계 제조업
496,에이치피오,기타 식품 제조업
497,에이테크솔루션,특수 목적용 기계 제조업
498,에이텍,컴퓨터 및 주변장치 제조업
499,에이텍티앤,통신 및 방송 장비 제조업
500,에이티세미콘,반도체 제조업
501,에이프로,기타 전기장비 제조업
502,에이피티씨,특수 목적용 기계 제조업
503,에치에프알,통신 및 방송 장비 제조업
504,에코캡,자동차 신품 부품 제조업
505,에코프로에이치엔,기타 화학제품 제조업
